dog breed name:Drentsche Patrijshond, size:Medium, slug:drentsche-patrijshond
dog breed name:Portuguese Pointer, size:Medium, slug:portuguese-pointer
dog breed name:Spinone Italiano, size:Medium, slug:spinone-italiano
dog breed name:Treeing Walker Coonhound, size:Medium, slug:treeing-walker-coonhound
dog breed name:Aussiedoodle, size:Medium, slug:aussiedoodle
dog breed name:Portuguese Sheepdog, size:Medium, slug:portuguese-sheepdog
dog breed name:Plott Hound, size:Medium, slug:plott-hound
dog breed name:Pomsky, size:Medium, slug:pomsky
dog breed name:Australian Kelpie, size:Medium, slug:australian-kelpie
dog breed name:Entlebucher Mountain Dog, size:Medium, slug:entlebucher-mountain-dog
dog breed name:Labrador Retriever, size:Large, slug:labrador-retriever
dog breed name:German Shepherd, size:Large, slug:german-shepherd
dog breed name:Golden Retriever, size:Large, slug:golden-retriever
dog breed name:Rottweiler, size:Large, slug:rottweiler
dog breed name:Doberman Pinscher, size:Large, slug:doberman-pinscher
dog breed name:Cane Corso, size:Large, slug:cane-corso
dog breed name:Mudhol hound, size:Large, slug:mudhol-hound
dog breed name:Akita, size:Large, slug:akita
dog breed name:Weimaraner, size:Large, slug:weimaraner
dog breed name:Alaskan Malamute, size:Large, slug:alaskan-malamute
dog breed name:Chippiparai, size:Large, slug:chippiparai
dog breed name:American Bulldog, size:Large, slug:american-bulldog
dog breed name:Afghan Hound, size:Large, slug:afghan-hound
dog breed name:Greyhound, size:Large, slug:greyhound
dog breed name:German Longhaired Pointer, size:Large, slug:german-longhaired-pointer
dog breed name:Czechoslovakian Vlcak, size:Large, slug:czechoslovakian-vlcak
dog breed name:Goldendoodle, size:Large, slug:goldendoodle
dog breed name:German Shorthaired Pointer, size:Large, slug:german-shorthaired-pointer
dog breed name:Goldador, size:Large, slug:goldador
dog breed name:Sloughi, size:Large, slug:sloughi
dog breed name:Old English Sheepdog, size:Large, slug:old-english-sheepdog
dog breed name:Maremma Sheepdog, size:Large, slug:maremma-sheepdog
dog breed name:Perro de Presa Canario, size:Large, slug:perro-de-presa-canario
dog breed name:Estrela Mountain Dog, size:Large, slug:estrela-mountain-dog
dog breed name:Slovensky Cuvac, size:Large, slug:slovensky-cuvac
dog breed name:Bernedoodle, size:Large, slug:bernedoodle
dog breed name:Azawakh, size:Large, slug:azawakh
dog breed name:Dogue de Bordeaux, size:Large, slug:dogue-de-bordeaux
dog breed name:Chesapeake Bay Retriever, size:Large, slug:chesapeake-bay-retriever
dog breed name:English Foxhound, size:Large, slug:english-foxhound
dog breed name:Great Pyrenees, size:Large, slug:great-pyrenees
dog breed name:Hovawart, size:Large, slug:hovawart
dog breed name:English Setter, size:Large, slug:english-setter
dog breed name:German Wirehaired Pointer, size:Large, slug:german-wirehaired-pointer
dog breed name:Fila Brasileiro, size:Large, slug:fila-brasileiro
dog breed name:Sarplaninac, size:Large, slug:sarplaninac
dog breed name:Irish Setter, size:Large, slug:irish-setter
dog breed name:Rhodesian Ridgeback, size:Large, slug:rhodesian-ridgeback
dog breed name:Irish Water Spaniel, size:Large, slug:irish-water-spaniel
dog breed name:Shiloh Shepherd, size:Large, slug:shiloh-shepherd
dog breed name:Tornjak, size:Large, slug:tornjak
dog breed name:Catahoula Leopard Dog, size:Large, slug:catahoula-leopard-dog
dog breed name:Great Dane, size:Giant, slug:great-dane
dog breed name:Dogo Argentino, size:Giant, slug:dogo-argentino
